Carrier,Depart DateTimeStr,Depart Duration Str,Depart Duration TimeDelta,Depart Landing DateTimeObj,Depart Takeoff DateTimeObj,Price,Return DateTimeStr,Return Duration Str,Return Duration TimeDelta,Return Landing DateTimeObj,Return Takeoff DateTimeObj,tag,Parsed Date
Turkish Airlines,Fri 8/16 @ 10:35 pm — 8:05 pm +1 ,14h 30m w/ 1 stop,0 days 14:30:00.000000000,2019-08-17 20:05:00,2019-08-16 22:35:00,2122,Sun 8/18 @ 12:50 am — 7:40 pm ,25h 50m w/ 1 stop,1 days 01:50:00.000000000,2019-08-18 19:40:00,2019-08-18 00:50:00,Sponsored,2019-07-27 11:17:29.769311
8/17,Sat 8/17 @ 5:45 pm — 10:15 am +2 ,33h 30m w/ 3 stops,1 days 09:30:00.000000000,2019-08-17 10:15:00,2019-08-17 17:45:00,970,Tue 8/20 @ 11:05 am — 7:54 pm +1 ,39h 49m w/ 3 stops,1 days 15:49:00.000000000,2019-08-21 19:54:00,2019-08-20 11:05:00,Cheapest,2019-07-27 11:17:29.769311
8/16,Fri 8/16 @ 1:05 pm — 10:00 am +1 ,13h 55m w/ 1 stop,0 days 13:55:00.000000000,2019-08-17 10:00:00,2019-08-16 13:05:00,1987,Tue 8/20 @ 4:50 am — 2:25 pm ,16h 35m w/ 1 stop,0 days 16:35:00.000000000,2019-08-20 14:25:00,2019-08-20 04:50:00,Best,2019-07-27 11:17:29.769311
Thu,Thu 8/15 @ 1:05 pm — 10:00 am +1 ,13h 55m w/ 1 stop,0 days 13:55:00.000000000,2019-08-16 10:00:00,2019-08-15 13:05:00,1987,Tue 8/20 @ 4:50 am — 2:25 pm ,16h 35m w/ 1 stop,0 days 16:35:00.000000000,2019-08-20 14:25:00,2019-08-20 04:50:00,,2019-07-27 11:17:29.769311
Fri,Fri 8/16 @ 6:15 pm — 4:20 pm +1 ,15h 05m w/ 1 stop,0 days 15:05:00.000000000,2019-08-17 16:20:00,2019-08-16 18:15:00,1964,Tue 8/20 @ 12:20 am — 10:05 am ,16h 45m w/ 1 stop,0 days 16:45:00.000000000,2019-08-20 10:05:00,2019-08-20 00:20:00,,2019-07-27 11:17:29.769311
Thu,Thu 8/15 @ 6:15 pm — 4:20 pm +1 ,15h 05m w/ 1 stop,0 days 15:05:00.000000000,2019-08-16 16:20:00,2019-08-15 18:15:00,1964,Tue 8/20 @ 12:20 am — 10:05 am ,16h 45m w/ 1 stop,0 days 16:45:00.000000000,2019-08-20 10:05:00,2019-08-20 00:20:00,,2019-07-27 11:17:29.769311
Fri,Fri 8/16 @ 12:00 pm — 10:10 am +1 ,15h 10m w/ 1 stop,0 days 15:10:00.000000000,2019-08-17 10:10:00,2019-08-16 12:00:00,1964,Tue 8/20 @ 12:20 am — 10:05 am ,16h 45m w/ 1 stop,0 days 16:45:00.000000000,2019-08-20 10:05:00,2019-08-20 00:20:00,,2019-07-27 11:17:29.769311
Thu,Thu 8/15 @ 12:00 pm — 10:10 am +1 ,15h 10m w/ 1 stop,0 days 15:10:00.000000000,2019-08-16 10:10:00,2019-08-15 12:00:00,1964,Tue 8/20 @ 12:20 am — 10:05 am ,16h 45m w/ 1 stop,0 days 16:45:00.000000000,2019-08-20 10:05:00,2019-08-20 00:20:00,,2019-07-27 11:17:29.769311
Thu,Thu 8/15 @ 1:05 pm — 10:00 am +1 ,13h 55m w/ 1 stop,0 days 13:55:00.000000000,2019-08-16 10:00:00,2019-08-15 13:05:00,1956,Tue 8/20 @ 11:45 am — 10:52 pm ,18h 07m w/ 1 stop,0 days 18:07:00.000000000,2019-08-20 22:52:00,2019-08-20 11:45:00,,2019-07-27 11:17:29.769311
Fri,Fri 8/16 @ 1:05 pm — 10:00 am +1 ,13h 55m w/ 1 stop,0 days 13:55:00.000000000,2019-08-17 10:00:00,2019-08-16 13:05:00,1956,Tue 8/20 @ 11:45 am — 10:52 pm ,18h 07m w/ 1 stop,0 days 18:07:00.000000000,2019-08-20 22:52:00,2019-08-20 11:45:00,,2019-07-27 11:17:29.769311
Fri,Fri 8/16 @ 7:45 pm — 4:30 pm +1 ,13h 45m w/ 1 stop,0 days 13:45:00.000000000,2019-08-17 16:30:00,2019-08-16 19:45:00,1964,Tue 8/20 @ 12:15 pm — 11:40 pm ,18h 25m w/ 1 stop,0 days 18:25:00.000000000,2019-08-20 23:40:00,2019-08-20 12:15:00,,2019-07-27 11:17:29.769311
Fri,Fri 8/16 @ 6:15 pm — 4:20 pm +1 ,15h 05m w/ 1 stop,0 days 15:05:00.000000000,2019-08-17 16:20:00,2019-08-16 18:15:00,1964,Tue 8/20 @ 11:25 pm — 9:52 am +1 ,17h 27m w/ 1 stop,0 days 17:27:00.000000000,2019-08-21 09:52:00,2019-08-20 23:25:00,,2019-07-27 11:17:29.769311
